State_Code,County_Code,Parameter_Name,Metric_Used,Year,Arithmetic_Mean,Local_Site_Name,Address,State_Name,County_Name,City_Name
1,001,Ozone,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),1990,0.053653,,"1170_COUNTY_RD.15_SO.,_SELMA,_AL._36701",Alabama,Autauga,
1,001,Ozone,Daily maximum of 8 hour running average of observed hourly values,1990,0.047259,,"1170_COUNTY_RD.15_SO.,_SELMA,_AL._36701",Alabama,Autauga,
1,001,Ozone,Daily maximum of 8 hour running average of observed hourly values,1990,0.047259,,"1170_COUNTY_RD.15_SO.,_SELMA,_AL._36701",Alabama,Autauga,
1,015,Suspended_particulate_(TSP),Observed Values,1990,41.785714,,309_EAST_8TH_STREET,Alabama,Calhoun,Anniston
1,015,PM10_Total_0-10um_STP,Daily Mean,1990,27.690909,,309_EAST_8TH_STREET,Alabama,Calhoun,Anniston
1,021,Suspended_particulate_(TSP),Observed Values,1990,37.368421,,1ST_AVE_&_5TH_AVE,Alabama,Chilton,Clanton
1,033,Sulfur_dioxide,Daily maximum 1-hour average,1990,18.156522,,TVA_COLBERT_13___0.9_MI_SW_COLBERT_FP,Alabama,Colbert,Not_in_a_city
1,033,Sulfur_dioxide,Observed Values,1990,3.727536,,TVA_COLBERT_13___0.9_MI_SW_COLBERT_FP,Alabama,Colbert,Not_in_a_city
1,033,Sulfur_dioxide,Daily Average of observed values,1990,3.70087,,TVA_COLBERT_13___0.9_MI_SW_COLBERT_FP,Alabama,Colbert,Not_in_a_city
1,033,Sulfur_dioxide,3-Hour block average of observed hourly values,1990,3.899543,,TVA_COLBERT_13___0.9_MI_SW_COLBERT_FP,Alabama,Colbert,Not_in_a_city
1,033,Sulfur_dioxide,Daily maximum 1-hour average,1990,21.266854,,TVA_COLBERT_14___3.98_MI_SE_COLBERT_FP,Alabama,Colbert,
1,033,Sulfur_dioxide,Observed Values,1990,4.479922,,TVA_COLBERT_14___3.98_MI_SE_COLBERT_FP,Alabama,Colbert,
1,033,Sulfur_dioxide,Daily Average of observed values,1990,4.478933,,TVA_COLBERT_14___3.98_MI_SE_COLBERT_FP,Alabama,Colbert,
1,033,Sulfur_dioxide,3-Hour block average of observed hourly values,1990,4.623992,,TVA_COLBERT_14___3.98_MI_SE_COLBERT_FP,Alabama,Colbert,
1,033,PM10_Total_0-10um_STP,Daily Mean,1990,23.224138,MUSCLE_SHOALS,WILSON_DAM_RD_AND_2ND_ST.,Alabama,Colbert,Muscle_Shoals
1,035,Suspended_particulate_(TSP),Observed Values,1990,33.901961,,COUNTY_HEALTH_DEPT,Alabama,Conecuh,Evergreen
1,039,Suspended_particulate_(TSP),Observed Values,1990,32.724138,,300_WEST_WATSON_ST.,Alabama,Covington,Andalusia
1,049,Suspended_particulate_(TSP),Observed Values,1990,28.083333,FT.PAYNE_(CLOSED),1500_WILLIAMS_AVE._N.E.,Alabama,DeKalb,Fort_Payne
1,049,PM10_Total_0-10um_STP,Daily Mean,1990,26.862069,FT.PAYNE_(CLOSED),1500_WILLIAMS_AVE._N.E.,Alabama,DeKalb,Fort_Payne
1,051,Ozone,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),1990,0.05596,"DBT,_WETUMPKA","DEWBERRY_TRAIL,_ELMORE_CO.,_WETUMPKA,__ALABAMA",Alabama,Elmore,Wetumpka
1,051,Ozone,Daily maximum of 8 hour running average of observed hourly values,1990,0.049636,"DBT,_WETUMPKA","DEWBERRY_TRAIL,_ELMORE_CO.,_WETUMPKA,__ALABAMA",Alabama,Elmore,Wetumpka
1,051,Ozone,Daily maximum of 8 hour running average of observed hourly values,1990,0.049636,"DBT,_WETUMPKA","DEWBERRY_TRAIL,_ELMORE_CO.,_WETUMPKA,__ALABAMA",Alabama,Elmore,Wetumpka
1,051,Rain/melt_precipitation,Observed Values,1990,1.203214,MONITOR_LOCATED_ON_GROUNDS_OF_NATIONAL_GUARD_ARMORY.,"164_MCNEAL_ST.,_TALLASSEE,_AL_36078",Alabama,Elmore,Tallassee
1,051,PH_(precip),Observed Values,1990,4.472759,MONITOR_LOCATED_ON_GROUNDS_OF_NATIONAL_GUARD_ARMORY.,"164_MCNEAL_ST.,_TALLASSEE,_AL_36078",Alabama,Elmore,Tallassee
1,051,Conductivity_(precip),Observed Values,1990,24.804138,MONITOR_LOCATED_ON_GROUNDS_OF_NATIONAL_GUARD_ARMORY.,"164_MCNEAL_ST.,_TALLASSEE,_AL_36078",Alabama,Elmore,Tallassee
1,051,Calcium_(precip),Observed Values,1990,0.135862,MONITOR_LOCATED_ON_GROUNDS_OF_NATIONAL_GUARD_ARMORY.,"164_MCNEAL_ST.,_TALLASSEE,_AL_36078",Alabama,Elmore,Tallassee
1,051,Ammonium_(precip),Observed Values,1990,0.27931,MONITOR_LOCATED_ON_GROUNDS_OF_NATIONAL_GUARD_ARMORY.,"164_MCNEAL_ST.,_TALLASSEE,_AL_36078",Alabama,Elmore,Tallassee
1,051,Nitrate_(precip),Observed Values,1990,1.365517,MONITOR_LOCATED_ON_GROUNDS_OF_NATIONAL_GUARD_ARMORY.,"164_MCNEAL_ST.,_TALLASSEE,_AL_36078",Alabama,Elmore,Tallassee
1,051,Sulfate_(precip),Observed Values,1990,6.190345,MONITOR_LOCATED_ON_GROUNDS_OF_NATIONAL_GUARD_ARMORY.,"164_MCNEAL_ST.,_TALLASSEE,_AL_36078",Alabama,Elmore,Tallassee
1,053,Suspended_particulate_(TSP),Observed Values,1990,46.133333,BREWTON_(CLOSED_12/30/07),BELLVILLE_AVE.BREWTON,Alabama,Escambia,Brewton
1,053,PM10_Total_0-10um_STP,Daily Mean,1990,30.220339,BREWTON_(CLOSED_12/30/07),BELLVILLE_AVE.BREWTON,Alabama,Escambia,Brewton
1,055,Suspended_particulate_(TSP),Observed Values,1990,50.827586,GADSDEN,3200_WALNUT_ST,Alabama,Etowah,Gadsden
1,055,Beryllium_(TSP)_STP,Observed Values,1990,0,GADSDEN,3200_WALNUT_ST,Alabama,Etowah,Gadsden
1,055,Barium_(TSP)_STP,Observed Values,1990,0,GADSDEN,3200_WALNUT_ST,Alabama,Etowah,Gadsden
1,055,Cadmium_(TSP)_STP,Observed Values,1990,0.00075,GADSDEN,3200_WALNUT_ST,Alabama,Etowah,Gadsden
1,055,Chromium_(TSP)_STP,Observed Values,1990,0.0015,GADSDEN,3200_WALNUT_ST,Alabama,Etowah,Gadsden
1,055,Copper_(TSP)_STP,Observed Values,1990,0.105,GADSDEN,3200_WALNUT_ST,Alabama,Etowah,Gadsden
1,055,Iron_(TSP)_STP,Observed Values,1990,1.40025,GADSDEN,3200_WALNUT_ST,Alabama,Etowah,Gadsden
1,055,Lead_(TSP)_STP,Observed Values,1990,0.0276,GADSDEN,3200_WALNUT_ST,Alabama,Etowah,Gadsden
1,055,Manganese_(TSP)_STP,Observed Values,1990,0.057325,GADSDEN,3200_WALNUT_ST,Alabama,Etowah,Gadsden
1,055,Molybdenum_(TSP)_STP,Observed Values,1990,0,GADSDEN,3200_WALNUT_ST,Alabama,Etowah,Gadsden
1,055,Nickel_(TSP)_STP,Observed Values,1990,0.003675,GADSDEN,3200_WALNUT_ST,Alabama,Etowah,Gadsden
1,055,Vanadium_(TSP)_STP,Observed Values,1990,0.00205,GADSDEN,3200_WALNUT_ST,Alabama,Etowah,Gadsden
1,055,Zinc_(TSP)_STP,Observed Values,1990,0.048875,GADSDEN,3200_WALNUT_ST,Alabama,Etowah,Gadsden
1,055,PM10_Total_0-10um_STP,Daily Mean,1990,30.777778,GADSDEN,3200_WALNUT_ST,Alabama,Etowah,Gadsden
1,055,PM10_Total_0-10um_STP,Daily Mean,1990,30.666667,GADSDEN,3200_WALNUT_ST,Alabama,Etowah,Gadsden
1,055,Suspended_particulate_(TSP),Observed Values,1990,35.959184,,109_SOUTH_8TH_STREET,Alabama,Etowah,Gadsden
1,059,Suspended_particulate_(TSP),Observed Values,1990,39.928571,,NORTH_ALABAMA_HOSPITAL,Alabama,Franklin,Russellville
1,059,PM10_Total_0-10um_STP,Daily Mean,1990,25.52,,NORTH_ALABAMA_HOSPITAL,Alabama,Franklin,Russellville
1,069,Suspended_particulate_(TSP),Observed Values,1990,64.461538,DOTHAN,"EAST_HIGHLAND_ST.,_BOARD_OF_ED._BLDG.",Alabama,Houston,Dothan
1,069,PM10_Total_0-10um_STP,Daily Mean,1990,30.890909,DOTHAN,"EAST_HIGHLAND_ST.,_BOARD_OF_ED._BLDG.",Alabama,Houston,Dothan
1,071,Sulfur_dioxide,Daily maximum 1-hour average,1990,18.380403,,TVA_WIDOWS_CRK_11_2.0_MI_ESE_WIDOWS_CRK,Alabama,Jackson,Not_in_a_city
1,071,Sulfur_dioxide,Observed Values,1990,4.128473,,TVA_WIDOWS_CRK_11_2.0_MI_ESE_WIDOWS_CRK,Alabama,Jackson,Not_in_a_city
1,071,Sulfur_dioxide,Daily Average of observed values,1990,4.126801,,TVA_WIDOWS_CRK_11_2.0_MI_ESE_WIDOWS_CRK,Alabama,Jackson,Not_in_a_city
1,071,Sulfur_dioxide,3-Hour block average of observed hourly values,1990,4.158863,,TVA_WIDOWS_CRK_11_2.0_MI_ESE_WIDOWS_CRK,Alabama,Jackson,Not_in_a_city
1,071,Sulfur_dioxide,Daily maximum 1-hour average,1990,20.606232,,TVA_WIDOWS_CRK_146.6_MI_SE_WIDOWS_CRK_FP,Alabama,Jackson,Not_in_a_city
1,071,Sulfur_dioxide,Observed Values,1990,5.246506,,TVA_WIDOWS_CRK_146.6_MI_SE_WIDOWS_CRK_FP,Alabama,Jackson,Not_in_a_city
1,071,Sulfur_dioxide,Daily Average of observed values,1990,5.250708,,TVA_WIDOWS_CRK_146.6_MI_SE_WIDOWS_CRK_FP,Alabama,Jackson,Not_in_a_city
1,071,Sulfur_dioxide,3-Hour block average of observed hourly values,1990,5.26194,,TVA_WIDOWS_CRK_146.6_MI_SE_WIDOWS_CRK_FP,Alabama,Jackson,Not_in_a_city
1,071,Sulfur_dioxide,Daily maximum 1-hour average,1990,17.310734,,TVA_WIDOWS_CRK_270.8_MI_NW_WID_CRK_FP,Alabama,Jackson,Not_in_a_city
1,071,Sulfur_dioxide,Observed Values,1990,4.134411,,TVA_WIDOWS_CRK_270.8_MI_NW_WID_CRK_FP,Alabama,Jackson,Not_in_a_city
1,071,Sulfur_dioxide,Daily Average of observed values,1990,4.127966,,TVA_WIDOWS_CRK_270.8_MI_NW_WID_CRK_FP,Alabama,Jackson,Not_in_a_city
1,071,Sulfur_dioxide,3-Hour block average of observed hourly values,1990,4.24652,,TVA_WIDOWS_CRK_270.8_MI_NW_WID_CRK_FP,Alabama,Jackson,Not_in_a_city
1,071,Suspended_particulate_(TSP),Observed Values,1990,30.785714,,"DAYS_INN,_E._WILLOW_STREET.",Alabama,Jackson,Scottsboro
1,071,PM10_Total_0-10um_STP,Daily Mean,1990,23.982456,,"DAYS_INN,_E._WILLOW_STREET.",Alabama,Jackson,Scottsboro
1,073,Suspended_particulate_(TSP),Observed Values,1990,67.254545,,"1500_1ST_AVE_N.,_BESSEMER,_AL",Alabama,Jefferson,Bessemer
1,073,PM10_Total_0-10um_STP,Daily Mean,1990,33.459016,,"1500_1ST_AVE_N.,_BESSEMER,_AL",Alabama,Jefferson,Bessemer
1,073,Lead_(TSP)_STP,Observed Values,1990,0.567541,,"NEW_JER.,_HAYES_INT'L,_1370_BORDEN_AVENU",Alabama,Jefferson,Leeds
1,073,Suspended_particulate_(TSP),Observed Values,1990,93.745763,North_Birmingham,"NO._B'HAM,SOU_R.R.,_3009_28TH_ST._NO.",Alabama,Jefferson,Birmingham
1,073,PM10_Total_0-10um_STP,Daily Mean,1990,45.126722,North_Birmingham,"NO._B'HAM,SOU_R.R.,_3009_28TH_ST._NO.",Alabama,Jefferson,Birmingham
1,073,Lead_(TSP)_STP,Observed Values,1990,0.128852,,"EAST_B'HAM,_INTERSTATE,_1333_CAHABA_ST.",Alabama,Jefferson,Birmingham
1,073,Carbon_monoxide,Obseved hourly values,1990,1.154303,,"EAST_B'HAM,_INTERSTATE,_1333_CAHABA_ST.",Alabama,Jefferson,Birmingham
1,073,Carbon_monoxide,8-Hour running average (end hour) of observed hourly values,1990,1.159431,,"EAST_B'HAM,_INTERSTATE,_1333_CAHABA_ST.",Alabama,Jefferson,Birmingham
1,073,Suspended_particulate_(TSP),Observed Values,1990,48.47541,,"INGLENOOK,_ELEM._SCH.,_3937_44TH_AVE._NO",Alabama,Jefferson,Birmingham
