State_Code,County_Code,Parameter_Code,Metric_Used,Year,Arithmetic_Mean,Local_Site_Name,Address,State_Name,County_Name,City_Name
1,005,11101,Observed Values,1992,26.606557,,601_EAST_BARBOUR_US_HGWY_82,Alabama,Barbour,Eufaula
1,009,11101,Observed Values,1992,26.535714,,5TH_E_&_4TH_ST_NORTH,Alabama,Blount,Oneonta
1,015,81102,Daily Mean,1992,24.433333,,309_EAST_8TH_STREET,Alabama,Calhoun,Anniston
1,021,11101,Observed Values,1992,33.895833,,1ST_AVE_&_5TH_AVE,Alabama,Chilton,Clanton
1,027,44201,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),1992,0.0356,ASHLAND,"ROUTE_1,_ASHLAND,_AL",Alabama,Clay,Ashland
1,027,44201,Daily maximum of 8 hour running average of observed hourly values,1992,0.030145,ASHLAND,"ROUTE_1,_ASHLAND,_AL",Alabama,Clay,Ashland
1,027,44201,Daily maximum of 8 hour running average of observed hourly values,1992,0.030145,ASHLAND,"ROUTE_1,_ASHLAND,_AL",Alabama,Clay,Ashland
1,033,42401,Daily maximum 1-hour average,1992,7.00823,,TVA_COLBERT_13___0.9_MI_SW_COLBERT_FP,Alabama,Colbert,Not_in_a_city
1,033,42401,Observed Values,1992,1.987274,,TVA_COLBERT_13___0.9_MI_SW_COLBERT_FP,Alabama,Colbert,Not_in_a_city
1,033,42401,Daily Average of observed values,1992,1.988889,,TVA_COLBERT_13___0.9_MI_SW_COLBERT_FP,Alabama,Colbert,Not_in_a_city
1,033,42401,3-Hour block average of observed hourly values,1992,1.972642,,TVA_COLBERT_13___0.9_MI_SW_COLBERT_FP,Alabama,Colbert,Not_in_a_city
1,033,42401,Daily maximum 1-hour average,1992,14.430137,,TVA_COLBERT_14___3.98_MI_SE_COLBERT_FP,Alabama,Colbert,
1,033,42401,Observed Values,1992,3.57905,,TVA_COLBERT_14___3.98_MI_SE_COLBERT_FP,Alabama,Colbert,
1,033,42401,Daily Average of observed values,1992,3.580274,,TVA_COLBERT_14___3.98_MI_SE_COLBERT_FP,Alabama,Colbert,
1,033,42401,3-Hour block average of observed hourly values,1992,3.5643,,TVA_COLBERT_14___3.98_MI_SE_COLBERT_FP,Alabama,Colbert,
1,033,81102,Daily Mean,1992,21.310345,MUSCLE_SHOALS,WILSON_DAM_RD_AND_2ND_ST.,Alabama,Colbert,Muscle_Shoals
1,035,11101,Observed Values,1992,28.5,,COUNTY_HEALTH_DEPT,Alabama,Conecuh,Evergreen
1,039,11101,Observed Values,1992,29.22807,,300_WEST_WATSON_ST.,Alabama,Covington,Andalusia
1,047,11101,Observed Values,1992,29.785714,,ALABAMA_AVE_AT_FRANKLIN_STREET.,Alabama,Dallas,Selma
1,049,81102,Daily Mean,1992,25.528302,FT.PAYNE_(CLOSED),1500_WILLIAMS_AVE._N.E.,Alabama,DeKalb,Fort_Payne
1,051,44201,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),1992,0.050603,"DBT,_WETUMPKA","DEWBERRY_TRAIL,_ELMORE_CO.,_WETUMPKA,__ALABAMA",Alabama,Elmore,Wetumpka
1,051,44201,Daily maximum of 8 hour running average of observed hourly values,1992,0.044304,"DBT,_WETUMPKA","DEWBERRY_TRAIL,_ELMORE_CO.,_WETUMPKA,__ALABAMA",Alabama,Elmore,Wetumpka
1,051,44201,Daily maximum of 8 hour running average of observed hourly values,1992,0.044304,"DBT,_WETUMPKA","DEWBERRY_TRAIL,_ELMORE_CO.,_WETUMPKA,__ALABAMA",Alabama,Elmore,Wetumpka
1,051,61103,Observed Values,1992,0.32337,"DBT,_WETUMPKA","DEWBERRY_TRAIL,_ELMORE_CO.,_WETUMPKA,__ALABAMA",Alabama,Elmore,Wetumpka
1,051,61104,Observed Values,1992,199.662559,"DBT,_WETUMPKA","DEWBERRY_TRAIL,_ELMORE_CO.,_WETUMPKA,__ALABAMA",Alabama,Elmore,Wetumpka
1,051,65102,Observed Values,1992,1.567083,MONITOR_LOCATED_ON_GROUNDS_OF_NATIONAL_GUARD_ARMORY.,"164_MCNEAL_ST.,_TALLASSEE,_AL_36078",Alabama,Elmore,Tallassee
